code,time_total,time_connect,time_appconnect,time_starttransfer,size_downloaded,speed_download,http_version
200,0.560543,0.097082,0.205822,0.254861,919564,1642078.000,2
200,0.542505,0.023784,0.132479,0.165462,919564,1696612.000,2
200,0.419339,0.023017,0.093217,0.126893,919564,2194663.000,2
200,0.506756,0.031568,0.120673,0.160986,919564,1817320.000,2
200,0.721010,0.077828,0.164705,0.193917,919564,1275400.000,2
200,0.499022,0.031442,0.096986,0.132228,919877,1843440.000,2
200,0.437124,0.030590,0.103384,0.138897,919877,2104981.000,2
200,0.462296,0.021260,0.114654,0.176733,919877,1991075.000,2
200,0.465987,0.052784,0.139130,0.177493,919564,1977556.000,2
200,0.420246,0.027608,0.110893,0.148294,919877,2190183.000,2
200,0.502135,0.033357,0.140414,0.171920,919564,1831800.000,2
200,0.529035,0.032672,0.143264,0.185670,919564,1738306.000,2
200,0.576841,0.024021,0.113143,0.149188,919877,1597008.000,2
200,0.520824,0.025389,0.094552,0.126771,919877,1768994.000,2
200,0.568452,0.038021,0.125256,0.178470,919877,1619501.000,2
200,0.561754,0.031138,0.149040,0.204434,919877,1639709.000,2
200,0.461213,0.038706,0.110801,0.145712,919564,1994715.000,2
200,0.458700,0.029281,0.114224,0.150040,919564,2007781.000,2
200,0.582622,0.022356,0.096490,0.129604,919564,1580006.000,2
200,0.630361,0.041484,0.116309,0.148851,919877,1460122.000,2
200,0.556143,0.082754,0.156053,0.195606,919564,1653892.000,2
200,0.650931,0.047018,0.129132,0.170487,919877,1415195.000,2
200,0.437601,0.035013,0.106491,0.143849,919877,2104981.000,2
200,0.565200,0.031705,0.108382,0.144156,919564,1627546.000,2
200,0.414637,0.035208,0.105798,0.143337,919877,2221925.000,2
200,0.424513,0.030847,0.099572,0.138498,919564,2168783.000,2
200,0.560076,0.035529,0.111760,0.153331,919564,1642078.000,2
200,0.486914,0.023859,0.103896,0.155150,919564,1892106.000,2
200,0.473094,0.028411,0.118922,0.151988,919877,1944771.000,2
200,0.447035,0.032822,0.140807,0.172781,919877,2057890.000,2
200,0.439894,0.032681,0.109563,0.143626,919564,2094678.000,2
200,0.480053,0.026358,0.087141,0.120257,919877,1916410.000,2
200,0.484251,0.033442,0.102596,0.133758,919564,1899925.000,2
200,0.436623,0.024997,0.090142,0.124329,919564,2109091.000,2
200,0.438164,0.030201,0.099584,0.134544,919564,2099461.000,2
200,0.426344,0.029971,0.100668,0.129936,919877,2159335.000,2
200,0.427722,0.023082,0.097186,0.131142,919877,2154278.000,2
200,0.467658,0.039833,0.131144,0.166197,919877,1969758.000,2
200,0.415957,0.026271,0.108602,0.148830,919877,2216571.000,2
200,0.567388,0.026581,0.091596,0.128055,919877,1622358.000,2
200,0.566261,0.022332,0.102859,0.146118,919877,1625224.000,2
200,0.458555,0.023422,0.101579,0.139223,919877,2008465.000,2
200,0.497033,0.027890,0.103993,0.140009,919877,1850859.000,2
200,0.503507,0.035767,0.133667,0.164900,919877,1828781.000,2
200,0.413664,0.021897,0.094830,0.128238,919877,2227305.000,2
200,0.441314,0.027744,0.092162,0.118230,919877,2085888.000,2
200,0.565195,0.033647,0.112166,0.146843,919877,1628100.000,2
200,0.521441,0.030335,0.174926,0.214756,919877,1765598.000,2
200,0.440369,0.034736,0.124126,0.168216,919877,2090629.000,2
200,0.544868,0.030195,0.146292,0.197336,919877,1690950.000,2
200,0.462188,0.026516,0.105155,0.148873,919564,1990398.000,2
200,0.546717,0.027190,0.124601,0.175413,919564,1684183.000,2
200,0.525618,0.033560,0.122040,0.154802,919564,1751550.000,2
200,0.426809,0.030526,0.134224,0.168918,919564,2158600.000,2
200,0.395460,0.023509,0.103247,0.139079,919564,2328010.000,2
200,0.406557,0.024522,0.100313,0.139918,919877,2265706.000,2
200,0.557993,0.024138,0.100208,0.129994,919564,1650922.000,2
200,0.608669,0.025907,0.116662,0.151794,919877,1512955.000,2
200,0.499761,0.029368,0.109314,0.143372,919877,1843440.000,2
200,0.466792,0.025835,0.126692,0.159399,919877,1973984.000,2
